librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-applb-usr-mmnt-objct-id-actns-rcnt-audit-tr-1a80)
librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId__actions__recentCommands__invoke (get-objcts-cswy-applb-usr-mmnt-objct-id-actns-rcnt-cmmnds-i-ed65)
librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-applb-usr-mmnt-objct-id-actns-rcnt-exctns-i-d7c6)
librechat-1  | Registered tool: GET::objects__causeway.applib.UserMemento__---objectId__collections__roles (get-objcts-cswy-applb-usr-mmnt-objct-id-cllctns-roles-08ad)
librechat-1  | Registered tool: GET::services__causeway.applib.DomainObjectList (get-services-causeway-applib-domain-object-lst)
librechat-1  | Registered tool: PUT::services__causeway.applib.DomainObjectList__actions__clearHints__invoke (put-srvcs-cswy-applb-dmn-objct-list-actns-clear-hints-invk-f8ab)
librechat-1  | Registered tool: GET::services__causeway.applib.DomainObjectList__actions__createdByCommand__invoke (get-srvcs-cswy-applb-dmn-objct-list-actns-crtd-by-cmmnd-inv-4d18)
librechat-1  | Registered tool: GET::services__causeway.applib.DomainObjectList__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-applb-dmn-objct-list-actns-rcnt-audit-trail-3fa9)
librechat-1  | Registered tool: GET::services__causeway.applib.DomainObjectList__actions__recentCommands__invoke (get-srvcs-cswy-applb-dmn-objct-list-actns-rcnt-cmmnds-invk-e306)
librechat-1  | Registered tool: GET::services__causeway.applib.DomainObjectList__actions__recentExecutions__invoke (get-srvcs-cswy-applb-dmn-objct-list-actns-rcnt-exctns-invk-650b)
librechat-1  | Registered tool: GET::services__causeway.applib.MetamodelInspectView (get-services-causeway-applib-metamodel-inspect-view)
librechat-1  | Registered tool: PUT::services__causeway.applib.MetamodelInspectView__actions__clearHints__invoke (put-srvcs-cswy-applb-mtmdl-inspct-view-actns-clear-hints-in-3416)
librechat-1  | Registered tool: GET::services__causeway.applib.MetamodelInspectView__actions__createdByCommand__invoke (get-srvcs-cswy-applb-mtmdl-inspct-view-actns-crtd-by-cmmnd-be07)
librechat-1  | Registered tool: GET::services__causeway.applib.MetamodelInspectView__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-applb-mtmdl-inspct-view-actns-rcnt-audit-tra-8b02)
librechat-1  | Registered tool: GET::services__causeway.applib.MetamodelInspectView__actions__recentCommands__invoke (get-srvcs-cswy-applb-mtmdl-inspct-view-actns-rcnt-cmmnds-in-a89c)
librechat-1  | Registered tool: GET::services__causeway.applib.MetamodelInspectView__actions__recentExecutions__invoke (get-srvcs-cswy-applb-mtmdl-inspct-view-actns-rcnt-exctns-in-9469)
librechat-1  | Registered tool: GET::services__causeway.applib.RoleMemento (get-services-causeway-applib-role-memento)
librechat-1  | Registered tool: PUT::services__causeway.applib.RoleMemento__actions__clearHints__invoke (put-srvcs-cswy-applb-role-mmnt-actns-clear-hints-invk-9de1)
librechat-1  | Registered tool: GET::services__causeway.applib.RoleMemento__actions__createdByCommand__invoke (get-srvcs-cswy-applb-role-mmnt-actns-crtd-by-cmmnd-invk-3e9b)
librechat-1  | Registered tool: GET::services__causeway.applib.RoleMemento__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-applb-role-mmnt-actns-rcnt-audit-trail-entrs-9959)
librechat-1  | Registered tool: GET::services__causeway.applib.RoleMemento__actions__recentCommands__invoke (get-srvcs-cswy-applb-role-mmnt-actns-rcnt-cmmnds-invk-e244)
librechat-1  | Registered tool: GET::services__causeway.applib.RoleMemento__actions__recentExecutions__invoke (get-srvcs-cswy-applb-role-mmnt-actns-rcnt-exctns-invk-645e)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMemento (get-services-causeway-applib-usr-memento)
librechat-1  | Registered tool: PUT::services__causeway.applib.UserMemento__actions__clearHints__invoke (put-srvcs-cswy-applb-usr-mmnt-actns-clear-hints-invk-e94a)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMemento__actions__createdByCommand__invoke (get-srvcs-cswy-applb-usr-mmnt-actns-crtd-by-cmmnd-invk-f6d0)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMemento__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-applb-usr-mmnt-actns-rcnt-audit-trail-entrs-6147)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMemento__actions__recentCommands__invoke (get-srvcs-cswy-applb-usr-mmnt-actns-rcnt-cmmnds-invk-24ba)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMemento__actions__recentExecutions__invoke (get-srvcs-cswy-applb-usr-mmnt-actns-rcnt-exctns-invk-db2a)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMenu (get-services-causeway-applib-usr-menu)
librechat-1  | Registered tool: GET::services__causeway.applib.UserMenu__actions__me__invoke (get-services-causeway-applib-usr-menu-actions-me-invoke)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationProperty__---objectId (get-objects-causeway-conf-config-property-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.conf.ConfigurationProperty__---objectId__actions__clearHints__invoke (put-objcts-cswy-conf-config-prprty-objct-id-actns-clear-hin-98c4)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationProperty__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-conf-config-prprty-objct-id-actns-crtd-by-c-0e98)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationProperty__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-conf-config-prprty-objct-id-actns-rcnt-audi-6510)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationProperty__---objectId__actions__recentCommands__invoke (get-objcts-cswy-conf-config-prprty-objct-id-actns-rcnt-cmmn-c6e9)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationProperty__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-conf-config-prprty-objct-id-actns-rcnt-exct-3d43)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId (get-objects-causeway-conf-config-viewmodel-object-id)
librechat-1  | Registered tool: PUT::objects__causeway.conf.ConfigurationViewmodel__---objectId__actions__clearHints__invoke (put-objcts-cswy-conf-config-vwmdl-objct-id-actns-clear-hint-d519)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-conf-config-vwmdl-objct-id-actns-crtd-by-cm-7cc9)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-conf-config-vwmdl-objct-id-actns-rcnt-audit-2cd8)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__actions__recentCommands__invoke (get-objcts-cswy-conf-config-vwmdl-objct-id-actns-rcnt-cmmnd-a2bd)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-conf-config-vwmdl-objct-id-actns-rcnt-exctn-f103)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__collections__environment (get-objcts-cswy-conf-config-vwmdl-objct-id-cllctns-envrnmnt-ead7)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__collections__primary (get-objcts-cswy-conf-config-vwmdl-objct-id-cllctns-prmry-3faf)
librechat-1  | Registered tool: GET::objects__causeway.conf.ConfigurationViewmodel__---objectId__collections__secondary (get-objcts-cswy-conf-config-vwmdl-objct-id-cllctns-scndry-0a2c)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationMenu (get-services-causeway-conf-config-menu)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationMenu__actions__configuration__invoke (get-srvcs-cswy-conf-config-menu-actns-cnfgrtn-invk-0f26)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationProperty (get-services-causeway-conf-config-property)
librechat-1  | Registered tool: PUT::services__causeway.conf.ConfigurationProperty__actions__clearHints__invoke (put-srvcs-cswy-conf-config-prprty-actns-clear-hints-invk-9f4e)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationProperty__actions__createdByCommand__invoke (get-srvcs-cswy-conf-config-prprty-actns-crtd-by-cmmnd-invk-4178)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationProperty__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-conf-config-prprty-actns-rcnt-audit-trail-en-dba3)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationProperty__actions__recentCommands__invoke (get-srvcs-cswy-conf-config-prprty-actns-rcnt-cmmnds-invk-13c7)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationProperty__actions__recentExecutions__invoke (get-srvcs-cswy-conf-config-prprty-actns-rcnt-exctns-invk-dbd7)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationViewmodel (get-services-causeway-conf-config-viewmodel)
librechat-1  | Registered tool: PUT::services__causeway.conf.ConfigurationViewmodel__actions__clearHints__invoke (put-srvcs-cswy-conf-config-vwmdl-actns-clear-hints-invk-937a)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationViewmodel__actions__createdByCommand__invoke (get-srvcs-cswy-conf-config-vwmdl-actns-crtd-by-cmmnd-invk-4a1d)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationViewmodel__actions__recentAuditTrailEntries__invoke (get-srvcs-cswy-conf-config-vwmdl-actns-rcnt-audit-trail-ent-a0c7)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationViewmodel__actions__recentCommands__invoke (get-srvcs-cswy-conf-config-vwmdl-actns-rcnt-cmmnds-invk-bf43)
librechat-1  | Registered tool: GET::services__causeway.conf.ConfigurationViewmodel__actions__recentExecutions__invoke (get-srvcs-cswy-conf-config-vwmdl-actns-rcnt-exctns-invk-b03a)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__associatedUser__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-65f9)
librechat-1  | Registered tool: PUT::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__clearHints__invoke (put-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-a8b2)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__createdByCommand__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-0aec)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__openTargetObject__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-8ba1)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__recentAuditTrailEntries__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-1bb0)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__recentCommands__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-c9bd)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__actions__recentExecutions__invoke (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-689a)
librechat-1  | Registered tool: GET::objects__causeway.ext.auditTrail.AuditTrailEntry__---objectId__collections__auditTrailEntries (get-objcts-cswy-ext-audit-trail-audit-trail-entry-objct-id-3d4d)
